"gx" "gy" 
"MESUFE" 118.92 44.73
"ALLOZE" 86.96 452.31
"SHORAF" 396.88 58.77
"SHORDI" 469.9 361.27
"UROPEL" 120.34 96.06
"GLENUN" 158.15 143.82
"AGROIN" 381.58 378.06
"GARCHE" 456.34 426.35
"HUMBLA" 371.2 57.45
"MASTTE" 68.55 418.47
"SHORCR" 429.66 409.81
"NOTHFO" 63.94 237.78
"CHAECA" 256.92 182.7
"SHORCR" 311.67 55.24
"ANISCI" 224.17 417.25
"UNIDEN" 8.54 33.3
"PODATH" 349.06 316.01
"SCHUCA" 99.11 122.19
"PALACA" 386.53 216.47
"UNIDEN" 341.12 292.42
"MESUNA" 409.51 294.22
"SHORCR" 426.29 213.1
"SHORAF" 376.42 428.08
"PALATH" 394.33 74.84
"MEMEAR" 175.69 300.88
"SCHUCA" 157.95 158.2
"GARCMO" 310.32 139.72
"CULLCE" 373.38 140.85
"AGROIN" 330.54 5.4
"UNIDEN" 138.98 406.38
"LITSLO" 211.31 397.33
"AGROIN" 107.41 70.43
"AGROHO" 186.35 118.63
"MESUNA" 94.81 187.43
"PSYCNI" 47.29 180.87
"MANGZE" 172.92 49.11
"HUMBLA" 140.63 352.94
"PALAPE" 483.99 264.19
"SHORAF" 467.38 398.78
"UNIDEN" 413.69 439.95
"SEMEGA" 34.18 132.59
"LITSLO" 99.6 251.58
"GARCHE" 172.29 168.68
"DILLRE" 206.85 221.49
"HUMBLA" 104.74 160.74
"GLENUN" 253.16 53.04
"MESUNA" 403.61 371.05
"GARCHE" 50.51 30.54
"CHAECO" 121.96 496.94
"CINNCA" 470.05 151.17
"SHORAF" 494.39 92.71
"SHORTR" 273.76 468.3
"MESUNA" 460.46 246.6
"CALOTH" 382.15 135.5
"MESUNA" 330.94 387.08
"SHORTR" 140.19 488.59
"AGROHO" 128.69 55.3
"HUMBLA" 137.65 188.42
"HYDNOC" 251.15 300.54
"SHORAF" 416.89 78.19
"GAERVA" 209.71 400.09
"SHORDI" 451.33 355.3
"PSEUCH" 13.7 468.14
"SEMEWA" 419.79 33.09
"HUMBLA" 189.6 342.19
"MESUNA" 466.73 391.76
"UNIDEN" 463.33 464.39
"MESUNA" 432.5 347.61
"LITSLO" 223.61 451.84
"SHORAF" 418.28 253.66
"MESUNA" 390.82 72.81
"SHORWO" 411.25 341.43
"MYRIDA" 131.6 313.79
"SHORWO" 455.81 176.13
"UROPEL" 275.32 401.59
"SHORAF" 430 433.08
"HUMBLA" 460.57 12.86
"CINNVE" 281.33 239.25
"HUMBLA" 90.59 361.21
"AGROHO" 95.04 71.26
"MESUNA" 401.98 19.43
"HUMBLA" 19.71 498.65
"CULLRO" 135.5 64.52
"LITSLO" 225.63 484.81
"PALACA" 173.81 249.54
"GAERRO" 156.26 473.11
"MYRIDA" 218.15 486.46
"PALACA" 150.92 463.77
"AGROHO" 186.29 9.55
"AGROHO" 182.79 20.1
"SCHUCA" 41.75 406.88
"AGROIN" 414.59 317.38
"SHORDI" 208.62 118.86
"CULLRO" 360.14 121.32
"XYLOCH" 228.94 258.47
"SYZYWI" 142.34 478.3
"HUMBLA" 496.14 350.61
"DIOSAC" 374 177.14
"SEMEWA" 26.36 284.95
"GARCHE" 464.95 459.55
"GOMPTE" 269.06 230.69
"HUMBLA" 415.96 462.5
"HUMBLA" 226.73 104.17
"MYRIDA" 223.92 180.63
"PSYCNI" 62.78 413.51
"PSYCNI" 188.98 76.27
"MEMEAR" 444.91 1.24
"HUMBLA" 412.35 295.6
"HUMBLA" 469.35 254.52
"PALATH" 110.67 466.61
"ACTIAL" 191.12 235
"AGROIN" 399.63 344.44
"PALATH" 449.17 312.12
"GAERVA" 101.06 311.85
"AGROHO" 81.96 66.57
"UNIDEN" 260.48 459.95
"MESUNA" 407.11 490.49
"SCHUCA" 36.43 359.11
"SHORDI" 467.64 409.95
"HUMBLA" 310 121.67
"AGROHO" 126.65 47.43
"SHORCR" 311.99 0.42
"DYSOBI" 161.26 144.38
"AGROHO" 137.18 36.26
"LITSGA" 46.98 198.8
"ANISCI" 41.17 167.26
"SYZYWI" 260.75 383.25
"CULLCE" 201.35 106.36
"HUMBLA" 496.06 134.31
"HUMBLA" 379.48 131.46
"SHORCR" 489.04 90.94
"ELAESU" 285.31 194.96
"SYMPCO" 211.57 183.5
"MEMEAR" 334.46 8.33
"SCHUCA" 232.3 475.79
"MESUNA" 393.78 335.58
"PSYCNI" 116.32 312.67
"MESUNA" 281.33 10.78
"SHORCR" 104.7 224.61
"MESUNA" 399.4 19.91
"MESUNA" 389.09 460.1
"AGROIN" 309.42 25.81
"XYLOCH" 6.88 479
"SHORDI" 473.76 105.77
"SHORDI" 363.97 303.94
"PALAPE" 488.4 339.08
"GARCHE" 335.05 169.06
"MESUNA" 210.52 52.79
"GARCHE" 317.86 88.05
"ISONLA" 466.95 33.69
"MANGZE" 78.18 442.07
"PSYCDU" 129.55 434.11
"GAERRO" 121.44 166.44
"MESUNA" 386.79 104.51
"SHORME" 82.37 16.37
"MASTTE" 109.68 91.51
"PSYCNI" 54.33 465.09
"GLOCAC" 276.91 205.96
"MESUNA" 281.25 96.54
"PALATH" 446.68 374.67
"SEMEAC" 479.8 227.08
"UNIDEN" 101.21 294.03
"MESUNA" 177.76 312.12
"HUMBLA" 427.82 203.4
"HUMBLA" 424.8 347.88
"MESUNA" 374.45 69.88
"SEMEGA" 86.13 340.73
"MANGZE" 189.17 306.47
"HUMBLA" 434.59 489.29
"HUMBLA" 401.47 215.93
"DIOSAC" 190 131
"SHORCR" 301.95 62.62
"MESUNA" 443.89 178.08
"MASTTE" 1.1 127.82
"SCHUCA" 144.91 142.52
"HYDNOC" 26.21 28.37
"CULLCE" 294.1 44.1
"CULLRO" 326.73 8.65
"AGROIN" 441.46 60.98
"UROPEL" 107.57 260.98
"NOTHBE" 330.3 149.21
"SHORDI" 393.68 78.71
"GARCHE" 448.63 363.01
"XYLOCH" 444.8 182.52
"HUMBLA" 234.31 76.56
"HUMBLA" 104.24 64.44
"CULLCE" 13.02 341.43
"AGROHO" 92.66 68.57
"ELAESU" 477.93 286.38
"MYRIDA" 226.71 75.14
"PALACA" 190.52 183.82
"GARCHE" 221.08 431.07
"MEMEAR" 465.59 32.72
"DIOSAC" 269.78 400.71
"SHORTR" 131.47 155.77
"AGROHO" 103.79 77.71
"PALAPE" 477.91 488.63
"CALOTH" 430.29 285.57
"PSYCDU" 68.85 166.3
"GAERRO" 163.85 430
"CALOTH" 276.53 262
"UNIDEN" 447.13 187.42
"GARCHE" 489.81 147.45
"UNIDEN" 20.78 474.39
"PSYCDU" 317.69 121.56
"SCHUCA" 67.41 343.28
"ELAEGL" 322.32 142.55
"SHORWO" 164.31 346.62
"SCHUCA" 7.34 338.88
"PALAPE" 448.01 449.02
"PSYCNI" 231.96 269.71
"HUMBLA" 356.07 82.24
"AGROIN" 495.46 134.17
"MESUNA" 396.14 373.89
"MESUNA" 457.29 454.47
"SHORME" 348.43 249.95
"EUPHLO" 49.25 304.22
"SYZYCY" 326.42 25.8
"HUMBLA" 40.5 105.74
"HUMBLA" 168.68 307.92
"CHIOAL" 479.48 335.1
"CULLCE" 106.02 23.32
"DIPTHI" 221.57 366.08
"ANISCI" 202.05 178.98
"SHORAF" 481.92 360.46
"NARGMA" 233.46 152.64
"AGROIN" 199.81 115.38
"SEMEWA" 348.92 334.04
"SEMEWA" 18.81 153.3
"SHORCR" 413.93 411.02
"MESUFE" 259.02 89.71
"HUMBLA" 456.71 365.57
"PSYCDU" 162.83 478.75
"AGROIN" 192.46 93.99
"PSYCPL" 148.69 119.18
"UNIDEN" 146.95 277.29
"HUMBLA" 449.23 283.25
"SHORCR" 81.6 175.51
"SHORME" 371.46 289.53
"MESUNA" 366.55 189
"CULLCE" 366.08 101.06
"AGROIN" 216.97 84.58
"SHORDI" 378.15 287.89
"HUMBLA" 437.89 299.04
"CALOBR" 296.8 219.63
"PSYCNI" 145.46 475.9
"SYZYNE" 198.68 167.78
"UNIDEN" 161.16 355.1
"MESUNA" 392.58 19.37
"HUMBLA" 482.29 35.74
"SEMEWA" 112.52 323.81
"AGROIN" 207.75 38.19
"UROPEL" 133.33 259.82
"MESUNA" 350.33 457.91
"MANGZE" 375.43 0.93
"AGROIN" 207.67 35.78
"SHORME" 137.73 51.2
"SHORTR" 16.75 291.8
"MASTTE" 225.13 146.67
"SHORDI" 424.91 16.35
"MESUNA" 376.32 154.18
"TRICER" 202.05 433.06
"SHORME" 365.08 266.99
"SCHUCA" 2.95 344.95
"MANGZE" 184.25 22.5
"AGROHO" 348.66 469.01
"MESUNA" 129.95 360
"DIOSIN" 290 445.78
"CULLCE" 57.64 39.43
"MEMERO" 291.12 36.16
"SHORCR" 303.61 120
"UNIDEN" 132.36 476.56
"SEMEWA" 486.13 236.13
"SEMEGA" 339.9 430.14
"SHORDI" 351.41 187.01
"UROPEL" 64.36 236.16
"PSYCNI" 104.81 499.45
"SHORCN" 441.43 180.42
"DILLRE" 7.5 314.8
"UROPEL" 287.33 428.6
"SHORDI" 413.1 415.51
"GLOCAC" 407.84 116.82
"MASTTE" 248.07 130.72
"SHORST" 119.95 483.57
"SHORME" 184.71 28.15
"CHAECA" 99.95 497.93
"SEMEWA" 47.41 367.31
"MESUNA" 387.83 215
"AGROIN" 189.07 102.12
"MESUFE" 124.36 34.86
"SHORCR" 482.08 6.47
"MESUNA" 295.05 115.09
"CALOTH" 461.96 375.19
"HUMBLA" 11.68 208.98
"AGROIN" 491.64 379.07
"AGROIN" 382.18 14.09
"HUMBLA" 203.59 98.84
"SYZYNE" 10.42 370.5
"SHORTR" 29.63 35.38
"XYLOCH" 212.99 159
"SYZYSY" 208.08 462.86
"SHORTR" 91.37 164.15
"SHORDI" 472.09 150
"LITSIT" 434.15 356.06
"GARCHE" 21.55 89.65
"AGROIN" 494.62 267.12
"GAERRO" 99.19 309.56
"UNIDEN" 22.13 456.67
"ACTIAL" 197.1 240
"UNIDEN" 413.66 460.38
"SHORWO" 169.7 341.37
"SHORAF" 461.91 130.49
"AGROIN" 272.06 16.76
"SHORCR" 366.42 94.75
"ISONLA" 467.38 92.56
"DILLRE" 39.39 306.32
"AGROHO" 181.08 23.56
"PALACA" 113.44 98.07
"PSYCNI" 180.23 170.53
"HUMBLA" 403.33 235.34
"SHORDI" 416.87 159.1
"HUMBLA" 157.77 351.39
"AGROIN" 294.95 110.57
"CHAECO" 110.59 329.67
"MASTTE" 237.36 131.35
"HUMBLA" 108.43 351.47
"SYZYAQ" 206.02 292.32
"SYZYNE" 15.96 373.64
"SHORDI" 194.51 90.29
"HUMBLA" 216.35 319.33
"AGROIN" 396.95 153.39
"HUMBLA" 205.54 105.65
"GARCHE" 33.3 413.06
"CHAECO" 301.35 266.1
"SYZYSY" 104.36 198.43
"GARCHE" 345.66 411.84
"SHORAF" 65.67 95.67
"SHORAF" 382.63 153.88
"MESUNA" 397.39 59.76
"AGROIN" 449.14 183.71
"LITSLO" 198.65 493.64
"MESUFE" 175.87 96.35
"MYRIDA" 69.13 223.81
"AGROIN" 71.43 22.5
"SHORTR" 232.19 317.1
"HOPEJU" 207.03 0.57
"HUMBLA" 484.3 355.11
"HUMBLA" 87.29 202.69
"SHORWO" 442.75 467.42
"XYLOCH" 238.81 162.01
"SHORTR" 197.81 175.75
"HUMBLA" 411.75 472.36
"MESUNA" 203.25 330.74
"HUMBLA" 438.44 274.02
"AGROHO" 162.89 34.13
"MYRIDA" 93.83 495.76
"PSYCDU" 211.67 453.57
"AGROIN" 190.99 87.09
"GONIHO" 167.87 304.4
"CULLRO" 299.95 415.49
"PSYCNI" 124.75 496.53
"UROPEL" 162.43 221.49
"CULLCE" 302.1 111.77
"PALAPE" 430 176.31
"AGROIN" 393.43 77.99
"AGROIN" 221.27 4.33
"UNIDEN" 304.16 372.88
"GAERVA" 304.35 486.44
"MESUFE" 413.3 396
"AGROIN" 253.04 31.91
"MESUNA" 476.27 9.7
"GAERVA" 207.62 452.75
"PALACA" 77.62 426.58
"SHORTR" 69.75 446.25
"SHORDI" 268.16 122.5
"AGROIN" 482.18 360.78
"CRYPWI" 215.51 269.35
"CULLCE" 473.9 317.28
"SHORCR" 172.63 12.94
"PALAPE" 435.09 438.94
"SHORWO" 412.02 176.54
"MELAMA" 251.35 361.67
"PSYCNI" 109.59 95.78
"HUMBLA" 361.23 179.55
"STRONA" 361.94 127.43
"HOPEJU" 79.62 1.72
"AGROHO" 93.02 76.8
"LEEAIN" 339.66 45.54
"HUMBLA" 196.5 371.35
"GYRIWA" 463.81 171.27
"GAERVA" 118.71 271.91
"SCHUCA" 86.25 286.57
"AGROIN" 473.37 152.23
"HUMBLA" 100.6 363.56
"SEMESU" 49.62 357.46
"GAERVA" 176.27 456.76
"MESUNA" 214.72 338.86
"SHORTR" 68.86 328.89
"CALOTH" 84.85 337.71
"AGROIN" 124.31 365.98
"GAERVA" 16.03 202.94
"MESUNA" 405.24 329.5
"PSYCNI" 219 137.25
"HUMBLA" 218.71 312.6
"HUMBLA" 175.98 328.24
"AGROHO" 36.04 79.81
"PALATH" 226.04 86.82
"EUPHLO" 15.67 273.3
"AGROIN" 271.83 125.5
"MESUNA" 287.62 58.97
"HUMBLA" 209.87 326.24
"AGROHO" 84.5 88.24
"ALLOZE" 123.17 154.48
"CULLRO" 399.27 79.43
"HUMBLA" 7.8 40.59
"GLENUN" 302.64 256.87
"SHORAF" 433.03 290.98
"HUMBLA" 210.41 335.79
"GAERRO" 65.58 464.59
"SHORDI" 423.61 219.69
"PSYCDU" 334.49 330.65
"XYLOCH" 233.58 354.81
"GARCHE" 482.95 455
"PALATH" 461.84 256.84
"VITEAL" 321.04 272.66
"MYRIDA" 267.84 220.09
"HUMBLA" 193.19 80.59
"AGROIN" 109.02 361.59
"DIOSHI" 404.41 462.57
"PALACA" 427.41 161.36
"CULLRO" 385.38 66.16
"PSYCDU" 109.95 304.95
"HUMBLA" 352.69 121.54
"HUMBLA" 214.07 322.55
"UNIDEN" 479.62 327.26
"SHORDI" 427.44 140.2
"SCHUCA" 60.3 241.25
"GLYCPE" 332.73 330.69
"AGROIN" 347.23 365
"HUMBLA" 133.13 342.36
"ANISCI" 176.23 440.75
"HUMBLA" 313.3 361.45
"AGROIN" 222.42 54.12
"HUMBLA" 393.84 348.75
"AGLAAP" 297.1 488.37
"GARCHE" 282.94 371.8
"SEMEGA" 123.33 4.8
"SHORAF" 433.09 495.81
"SEMEWA" 125.3 126.93
"MESUNA" 439.87 394.75
"HUMBLA" 335.99 80.98
"UNIDEN" 116.73 408.83
"SHORDI" 460.85 38.2
"UROPEL" 211.53 484.54
"SYZYSP" 265.44 225.25
"PALACA" 139.6 450.63
"AGROIN" 221.06 31.11
"SHORDI" 355.93 197.28
"AGROIN" 420.88 10.61
"MASTTE" 239.86 165.73
"AGROIN" 464 413.63
"SYZYSP" 295.78 180.23
"MESUNA" 431.62 451.32
"SHORAF" 470.15 469.24
"AGROIN" 485.15 470.1
"AGROIN" 476.17 262.06
"UNIDEN" 31.42 33.59
"CULLCE" 349.32 301.62
"UROPEL" 52.84 48.42
"BYRSEL" 420.57 136.88
"SHORWO" 499.67 375.59
"SYZYWI" 39.05 272.06
"SHORWO" 464.57 160.7
"ALLOZE" 200.99 474.27
"AGROIN" 359.33 108.66
"HUMBLA" 139.26 166.87
"SHORME" 170.42 3.12
"SHORWO" 420.9 281.44
"SYMPCO" 239.29 300
"AGROIN" 457.39 384.05
"SHORDI" 363.63 148.8
"AGROIN" 379.17 111.01
"ACTIAL" 161.63 483.88
"GAERRO" 83.87 330.6
"SHORDI" 431.87 242.17
"MALLRH" 263.71 170.58
"AGROIN" 192.11 357
"CHAECA" 58.73 436.55
"AGROIN" 329.15 29.64
"CULLCE" 363.86 124.25
"PALATH" 356.8 345.78
"GAERVA" 102.4 132.84
"PSYCPL" 0.4 470.71
"AGROHO" 134.66 19.25
"HUMBLA" 474.82 144.33
"SHORCR" 125.05 186.3
"HUMBLA" 39.69 404.9
"SHORDI" 464.41 52.85
"MESUFE" 360.49 457.45
"HUMBLA" 96.6 357.62
"SHORCR" 442.97 405.33
"SYZYAM" 236.69 302.06
"UROPEL" 14.83 251.36
"GAERVA" 0.93 239.04
"HUMBLA" 202.64 72.33
"MESUFE" 378.1 135
"MESUFE" 183.68 69.02
"MESUFE" 161.4 64.8
"MEMEPR" 427.64 165.69
"PALACA" 27.13 250.26
"MESUNA" 261.4 30.29
"UNIDEN" 0.76 107.7
"PODATH" 100.96 94.72
"MESUFE" 111.24 47.45
"SHORCR" 288.55 83.65
"NARGMA" 124.87 74.95
"HUMBLA" 455 245.77
"GARCHE" 208.24 407.86
"CULLCE" 486.38 276.86
"GLOCAC" 242.84 331.86
"SHORDI" 459.5 138.08
"GARCSP" 247.35 135.69
"GLOCAC" 45.39 329.71
"PSYCNI" 106.88 10.25
"SHORWO" 401.99 292.45
"SHORDI" 319.66 470.19
"GARCHE" 102.1 347.72
"MESUNA" 222.18 351.54
"AGROIN" 351.38 3.42
"MESUNA" 490.36 326.46
"AGROIN" 199.62 114.02
"HUMBLA" 495.55 311.79
"HUMBLA" 449.53 256.43
"GARCHE" 338.76 491.98
"MYRIDA" 7.22 373.88
"SHORAF" 90.34 177.53
"HUMBLA" 116.04 210.8
"AGROIN" 255.88 11.61
"SHORME" 231.64 90.91
"MESUNA" 220.09 346.2
"PSYCDU" 156.35 451.62
"AGROHO" 126.23 79.58
"AGROIN" 472.48 198.77
"PRISTE" 302.94 30.26
"MASTTE" 123.33 399.31
"HUMBLA" 367.73 86.63
"GARCHE" 195.44 204.22
"HUMBLA" 47.16 101.8
"HUMBLA" 402.67 50.45
"STRONA" 454.06 406.97
"AGROHO" 130.12 60.13
"PALAPE" 436.33 116.93
"XYLOCH" 498.39 312.64
"MASTTE" 93.33 92.32
"CULLCE" 254.24 55.75
"PALATH" 420.23 84.55
"PSYCPL" 191.46 228.64
"HUMBLA" 401.6 472.17
"SHORDI" 446.59 246.22
"MESUFE" 395.92 220.87
"HUMBLA" 63.17 198.07
"SEMEWA" 361.19 295.87
"SHORDI" 403.9 403.08
"MYRIDA" 184.55 31.07
"GAERVA" 490.34 194.26
"PSYCNI" 280.29 455.98
"CULLCE" 237.37 71.73
"CALOBR" 186.58 292.55
"SEMEWA" 291.5 17.69
"AGROIN" 416.04 18.03
"SHORDI" 408.11 268.5
"LEEAIN" 40.76 138.08
"CULLCE" 355.76 11.67
"DIOSQU" 7.28 280.19
"HUMBLA" 3.92 99.52
"HUMBLA" 101.1 362.31
"DYSOPE" 151.53 112.02
"AGROIN" 202.39 61.49
"HUMBLA" 487.27 262.05
"PRISTE" 268.64 11.03
"GARCHE" 83.89 497.05
"MASTTE" 247.78 314.71
"MESUNA" 189.1 27.88
"SHORDI" 405.66 26.59
"HUMBLA" 284.01 116.31
"HUMBLA" 97 356.31
"STRONA" 104.17 229.51
"UROPEL" 120.25 56.9
"SHORAF" 89.76 167.08
"DYSOPE" 284.42 497.84
"SYZYSY" 263.15 221.6
"MESUNA" 198.2 306.12
"HUMBLA" 473.98 320.97
"HUMBLA" 388.99 384.84
"HUMBLA" 166.88 356
"UNIDEN" 392.48 322.14
"PALACA" 163.83 144.38
"MESUNA" 101.68 199.9
"PALAPE" 440.94 100
"PALACA" 251.89 254.02
"SEMEWA" 275.29 365.1
"DIOSAC" 428.98 247.57
"UNIDEN" 232.6 488.76
"HUMBLA" 9.17 56.59
"HUMBLA" 15.24 107.38
"MESUNA" 457.48 408.79
"SHORDI" 428.74 319.25
"HUMBLA" 384.61 193.5
"SHORAF" 445.54 405.67
"SHORWO" 490.67 420.61
"SYZYNE" 277.9 211.52
"SCHUCA" 231.06 461.06
"MESUFE" 401.83 240.56
"BHESCE" 369.4 189.09
"UNIDEN" 128.17 294.47
"PSYCNI" 99.72 492.42
"UROPEL" 151.08 225.45
"MESUNA" 362.25 479.11
"SHORWO" 436.67 355.33
"AGROIN" 444.79 287.41
"HUMBLA" 451 288.54
"SHORME" 187.96 373.24
"AGROIN" 147.25 348.72
"GARCHE" 44.02 30.27
"MESUFE" 478.99 287.66
"HUMBLA" 442.5 333.08
"AGROIN" 181.11 86.23
"SEMEGA" 51.6 331.42
"HUMBLA" 405.13 450.36
"SHORWO" 448.68 427.2
"SHORWO" 480.48 259.76
"DILLRE" 187.3 481.64
"GARCHE" 10.73 78.28
"MESUFE" 277.45 70
"BHESCE" 151.72 432.31
"VITEAL" 193.88 232.7
"SEMEWA" 125.44 17.74
"MESUNA" 211.14 18.11
"CULLRO" 490.95 150.78
"AGROIN" 228.03 53.28
"HUMBLA" 181.26 308.53
"SHORDI" 435.09 259.1
"AGROIN" 116.08 57.08
"AGROIN" 220.32 29.6
"UROPEL" 103.7 477.07
"PSYCNI" 88.89 174.52
"AGROIN" 389.92 123.9
"HUMBLA" 230 164.45
"CINNCA" 115.5 160.29
"MESUNA" 428.6 151.38
"MESUFE" 415.18 381.86
"MEMEVA" 18.92 124.64
"ERYTOB" 148.1 271.3
"ANISCI" 60 236.39
"GARCHE" 493.21 109.25
"SCHUCA" 65.25 279.3
"SYZYWI" 156.44 267.04
"ALLOZE" 130 242.41
"CALOBR" 288.06 190.89
"CALOTH" 15.96 8.32
"PSYCDU" 106.77 490.7
"PALACA" 203.37 125.54
"EURYAC" 3.65 166.43
"AGROIN" 473.49 3.92
"SHORWO" 493.82 313.02
"GARCHE" 144.86 445.41
"MESUNA" 424.55 481.02
"PSYCDU" 335.78 93.56
"HUMBLA" 364.91 187.55
"AGROIN" 401.92 241.25
"MEMED_" 86.49 414.34
"IXORJU" 479.54 102.29
"GARCHE" 18.08 409.31
"UROPEL" 233.02 169.27
"MESUNA" 212.61 351.74
"HUMBLA" 1.03 488.62
"AGROIN" 451.46 482.55
"LITSIT" 451.12 175.47
"PALACA" 286.98 198.82
"SHORWO" 472.42 171.72
"HOPEJU" 320.14 125.48
"SEMEWA" 157.43 123.55
"SHORTR" 284.28 158.73
"UNIDEN" 299.22 399.81
"PALACA" 178.45 158.72
"SCHUCA" 154.56 24.46
"CULLCE" 259.2 9.86
"STRONA" 172.06 204.25
"MESUFE" 343.04 124.31
"SHORWO" 496.55 246.31
"GARCHE" 117.74 76.28
"ALLOZE" 258.95 437.23
"SHORCR" 443.56 68.37
"ANISCI" 223.75 410.19
"SCHUCA" 19.77 237.31
"SHORDI" 359.33 168.43
"HUMBLA" 467.04 356.87
"AGROIN" 439.29 92.83
"GARCHE" 16.63 22.1
"GARCHE" 191.51 328.55
"UNIDEN" 5.19 222.04
"AGROIN" 37.11 99.17
"PSYCNI" 52.55 363.3
"AGROHO" 72.4 78.19
"HUMBLA" 469.48 316.72
"HUMBLA" 490.69 114.59
"GARCHE" 22.18 85.2
"PSYCNI" 127.6 470.29
"MESUNA" 420.56 320.1
"HUMBLA" 381.82 26.38
"AGROIN" 363.5 82.35
"MESUNA" 286.34 27.21
"SEMESU" 260.6 466.47
"AGROIN" 491.84 333.51
"MESUNA" 400.56 44.28
"SHORTR" 262.67 234.17
"SHORTR" 245.39 139.26
"NARGMA" 222.84 69.81
"CINNCA" 256.6 454.85
"CALOTR" 6.23 220.1
"SHORDI" 415.34 444.4
"SHORWO" 448.46 170.98
"CRYPWI" 490.83 253.58
"SHORDI" 453.02 71.28
"PALACA" 132.7 459.62
"MESUNA" 466.83 476.22
"HUMBLA" 472.52 349.13
"UNIDEN" 156.08 285.17
"AGROIN" 391.86 129.27
"HUMBLA" 11.81 52.84
"CULLRO" 485.27 393.16
"MESUNA" 115.15 365.34
"CRYPWI" 215 383.9
"UNIDEN" 100.38 305.46
"PALACA" 281.06 173.38
"PALACA" 180.08 26.71
"SCHUCA" 272.31 289.81
"CULLCE" 163.96 21.85
"HUMBLA" 72.65 87.21
"MEMECL" 81.06 482.99
"MESUNA" 193.74 373.13
"HUMBLA" 113.14 335.99
"PALACA" 369.71 180.98
"SHORDI" 366.69 473.9
"UROPEL" 262.03 282.52
"SHORTR" 244.86 139.9
"MESUFE" 459.31 243.54
"APAMSI" 195.48 168.15
"SHORCR" 107.45 239.52
"DIOSAC" 376.69 267.21
"HUMBLA" 497.86 408.94
"HUMBLA" 417.71 98.15
"GLOCNE" 18.66 329.04
"SYZYWI" 153.64 436.2
"AGROHO" 102.42 72.72
"GAERVA" 83.4 420.44
"GARCHE" 406.15 472.59
"HUMBLA" 11.85 73.06
"HUMBLA" 230.36 337.21
"UNIDEN" 34.53 475.97
"GAERVA" 63.58 179.66
"DIOSHI" 250.04 233.57
"MESUNA" 205.17 45.3
"MYRIDA" 23.21 122.24
"GARCHE" 231.28 438.83
"GARCHE" 111.75 81.61
"EUGERI" 210 482.78
"HUMBLA" 486.5 240.18
"UNIDEN" 478.37 249.71
"GARCHE" 157.15 211.53
"CAMPZE" 266.36 413
"AGROIN" 414.75 316.93
"PSYCDU" 230.85 186.46
"PALATH" 396.71 41.43
"EURYAC" 280.28 215.2
"GAERVA" 136.3 413.49
"MESUNA" 195.24 324.5
"GOMPTE" 169.18 145.96
"HUMBLA" 115.75 361.92
"PSYCNI" 243.1 321.7
"MANGZE" 176.98 262.22
"MYRIDA" 56.75 379.75
"SYZYNE" 276.88 385.5
"MESUNA" 479.55 374.8
"SHORWO" 450.98 448.55
"PRISTE" 158.96 336.4
"AGROIN" 469.33 150.52
"AGROHO" 88.17 67.71
"SCHUCA" 76.87 274.34
"SHORDI" 451.89 196.88
"PALAPE" 498.63 9.45
"SHORWO" 3.04 68.56
"AGROHO" 108.15 54.55
"UNIDEN" 5.41 430.2
"MESUNA" 153.69 343.62
"AGROIN" 346.28 239.15
"MASTTE" 343.81 185
"HUMBLA" 366.01 126.4
"AGROIN" 299.95 30.32
"MESUNA" 230.53 25.57
"LITSLO" 197.8 400.56
"SYZYWI" 369.58 344.53
"PALATH" 454.09 98.03
"MEMEAR" 481.34 10.75
"SHORAF" 432.27 401.86
"FICUHI" 156.5 35.73
"SHORWO" 460.65 292.62
"HUMBLA" 222.35 109.62
"NOTHBE" 312.86 437.64
"DIOSAC" 66.5 415.99
"HUMBLA" 123.17 177.79
"AGROIN" 373.3 476.9
"SHORDI" 485.7 340.59
"GARCHE" 301.62 39.42
"ANISCI" 123.82 239.17
"SHORWO" 468.24 131.6
"AGROHO" 129.1 55.6
"UNIDEN" 214.17 285.99
"AGROIN" 374.55 111.83
"MESUNA" 124.25 187.81
"AGROIN" 28.82 375.35
"DIOSHI" 261.97 82.5
"MESUNA" 396.03 84.9
"HUMBLA" 386.15 60.9
"SHORWO" 478.9 336.62
"SHORTR" 88.35 164.49
"MESUNA" 481.83 405.09
"MESUNA" 120.19 176.44
"SYMPCO" 126.2 99.04
"CALOTH" 220.6 72.02
"CULLRO" 379.92 45.38
"HUMBLA" 388.66 294.85
"ACTIAL" 288.23 491.9
"SYMPHI" 222.03 364.68
"AGROIN" 127.97 333.57
"SHORCR" 260.39 74.06
"HUMBLA" 472.91 320.97
"CULLCE" 482.68 387.25
"AGROHO" 174.39 81.62
"CINNVE" 11.83 370.32
"PALATH" 403.73 173.07
"AGROHO" 92.33 78.45
"GLOCAC" 285.94 440.91
"UROPEL" 137.36 484.38
"LEEAIN" 74.34 254.91
"AGROHO" 84.86 72.75
"AGROHO" 37.74 69.52
"AGROIN" 182.84 366.67
"PSYCDU" 119.13 228.22
"TRICER" 176.78 298.11
"MYRIDA" 133.86 388.73
"HUMBLA" 146 220.09
"XYLOCH" 94.76 228.8
"MESUNA" 489.95 252.31
"HUMBLA" 336.07 114.05
"HUMBLA" 458.32 152.34
"MESUNA" 403.68 455.78
"DIOSHI" 350.21 316.35
"SHORDI" 178.3 50.74
"DYSOPE" 121.98 126.05
"SHORTR" 140.05 486.26
"GARCHE" 276.15 33.48
